#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,1.354566507454045698e+01,-1.875495890063158880e-02,1.031605312411073422e-01,8.037049566185255900e-01
9.329570125922714396e+00,1.343168331162252294e+01,-1.206439737136033412e-02,1.006224712700267004e-01,8.051448243194853083e-01
1.845071645679541916e+01,1.324156896801273930e+01,-1.593949103552855934e-02,9.736575946256091629e-02,7.915352956494476899e-01
2.983847155883626101e+01,1.320415400202634615e+01,-1.761327915827352181e-02,9.349676185360769609e-02,7.911738157932524107e-01
3.782370820668688793e+01,1.297582862932407188e+01,-6.633119853613824411e-03,9.090839087200656976e-02,7.891401122781911415e-01
4.351888840642629930e+01,1.293805181647127078e+01,-8.863646647673998832e-03,8.912259521149484831e-02,7.861139655997013698e-01
4.921406860616582435e+01,1.290027500361847146e+01,-1.179093416934451875e-02,8.738542910527451191e-02,7.823424286393098059e-01
5.946851932262262608e+01,1.278651034882038218e+01,-1.039701433749336962e-02,8.437597773683377933e-02,7.789718817617321545e-01
6.858445505861919855e+01,1.267267332464901131e+01,-7.469726815822880922e-03,8.182341769547919752e-02,7.766728660063803025e-01
7.769778549717756277e+01,1.259697496019684593e+01,-8.863646647674043935e-03,7.938188689937576703e-02,7.725477553997346369e-01
8.339296569691703098e+01,1.255919814734404660e+01,-8.305802356060203173e-03,7.790997303571356447e-02,7.719960980100694092e-01
9.022926617455493670e+01,1.248335504414531982e+01,-1.016353600038914090e-02,7.619597429535435174e-02,7.666697510541866656e-01
9.706296135475457731e+01,1.244565060066580031e+01,-1.155798725421238946e-02,7.453846948144758622e-02,7.643563343098362939e-01
1.073200173686495873e+02,1.229374728614850554e+01,-4.121384534579423768e-03,7.215145148132315334e-02,7.637998952042451828e-01
1.118766825879287694e+02,1.225589810392242107e+01,-2.328420986158588266e-03,7.112851172980554082e-02,7.640294377187346608e-01
1.175692574902301999e+02,1.225625995078882724e+01,-6.513370229611402037e-03,6.988191076679318992e-02,7.611158156408318609e-01
1.255414676508900698e+02,1.221862787668259109e+01,-4.121384534579279786e-03,6.819292484122432829e-02,7.626252621975067036e-01
1.346547980894485477e+02,1.214292951223042571e+01,-3.075595931640663031e-03,6.634047236070794717e-02,7.603507817100637611e-01
1.414858879722101506e+02,1.214336372847011170e+01,-5.719278652612942368e-03,6.500461497638565511e-02,7.590726278164590113e-01
1.050377768128527691e+02,1.236987986684035512e+01,-6.765067255551558689e-03,7.267235455945564304e-02,7.658377024190836657e-01
1.483169778549717535e+02,1.214379794470980123e+01,-8.903793046045216375e-03,6.371227083499372834e-02,7.572101290074640945e-01
1.528736430742509924e+02,1.210594876248371854e+01,-4.718843802592558728e-03,6.287370606531893225e-02,7.596472822351425513e-01
1.608484585323490705e+02,1.203017802865827512e+01,-4.121384534579234683e-03,6.144994636282512246e-02,7.564908343942444713e-01
1.665410334346503873e+02,1.203053987552467952e+01,-4.121384534579234683e-03,6.046678649730835575e-02,7.574987204622989356e-01
1.756543638732088652e+02,1.195484151107251591e+01,-2.029508275627068224e-03,5.894823981244380617e-02,7.559364218352176978e-01
1.813469387755101820e+02,1.195520335793892031e+01,-2.029508275626978886e-03,5.803317395613761392e-02,7.568762138940616779e-01
1.904576639166304517e+02,1.191764365320596575e+01,-2.726933280756173045e-03,5.662019756014328303e-02,7.550251854615082081e-01
1.984272687798523407e+02,1.191815023881893332e+01,-2.726933280756047712e-03,5.543434601381330012e-02,7.562456536913911842e-01
2.052609639600521518e+02,1.188044579533941381e+01,6.356470887359329160e-05,5.445336899275889098e-02,7.574406583976412977e-01
2.143690838037343269e+02,1.188102475032566474e+01,-4.121384534579233816e-03,5.319541215281441138e-02,7.545532279181933477e-01
2.212001736864959298e+02,1.188145896656535072e+01,-4.121384534579102844e-03,5.228773236055631046e-02,7.554905791534968218e-01
2.303135041250542940e+02,1.180576060211318712e+01,6.356470887369095111e-05,5.112266544238044247e-02,7.556678737442277249e-01
2.371445940078157832e+02,1.180619481835287488e+01,6.356470887362568214e-05,5.028250178784987590e-02,7.565377088418034912e-01
2.439756838905774998e+02,1.180662903459256263e+01,-2.029508275627047841e-03,4.946970501067454035e-02,7.552871040775235301e-01
2.485297438124185305e+02,1.180691851208568721e+01,-2.029508275627048709e-03,4.894260289617675258e-02,7.558339871540513677e-01
2.576404689535388002e+02,1.176935880735273088e+01,6.356470887365818110e-05,4.792239006434602377e-02,7.563806931469642114e-01
2.621945288753799446e+02,1.176964828484585546e+01,6.356470887374177309e-05,4.742907379436628323e-02,7.568937903789740851e-01
2.713026487190620060e+02,1.177022723983210639e+01,-2.328420986158732681e-03,4.647452094951334128e-02,7.554959194528552135e-01
2.792722535822840086e+02,1.177073382544507574e+01,-2.328420986158776917e-03,4.567317072180616944e-02,7.563318863641150802e-01
2.872444637429439922e+02,1.173310175133883604e+01,6.356470887357164822e-05,4.490194290396785221e-02,7.569235748130594965e-01
2.929370386452453090e+02,1.173346359820524221e+01,-5.515304366430512188e-03,4.436920353232248759e-02,7.519021713119384831e-01
3.009066435084673117e+02,1.173397018381820978e+01,-5.515304366430484433e-03,4.364764072088100910e-02,7.526583508069328854e-01
3.077429439861049900e+02,1.165812708061948477e+01,-2.726933280756191260e-03,4.305051543134907205e-02,7.508612351302261789e-01
3.122970039079461344e+02,1.165841655811260935e+01,-2.726933280756190826e-03,4.266357724506360943e-02,7.512679542785417608e-01
