#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
0.000000000000000000e+00,1.353333333333333499e+01,-8.794606401896635714e-03,1.041059718969554876e-01,8.118771994789256707e-01
1.714285714285714235e+01,1.337667890584127584e+01,-8.133303667061220210e-03,9.782393445816425781e-02,8.081158204405949341e-01
3.428571428571428470e+01,1.323180397098259320e+01,-7.521727012861570937e-03,9.204285950473233002e-02,8.046086848328831698e-01
5.142857142857143060e+01,1.309782278011346257e+01,-6.956137330164906957e-03,8.672279767083970747e-02,8.013389549734153405e-01
6.857142857142856940e+01,1.297391618768448218e+01,-6.433076668878667109e-03,8.182698536180901816e-02,7.982908774610851799e-01
8.571428571428570820e+01,1.285932664307923723e+01,-5.949347096442287111e-03,7.732159070407089441e-02,7.954497161432347863e-01
1.028571428571428612e+02,1.275335355903721357e+01,-5.501991146036808861e-03,7.317547975440617802e-02,7.928016889670999046e-01
1.200000000000000000e+02,1.265534902834407305e+01,-5.088273734973411920e-03,6.936000135288483692e-02,7.903339085156533272e-01
1.371428571428571388e+02,1.256471386260166589e+01,-4.705665442713337712e-03,6.584878913275522827e-02,7.880343260356452717e-01
1.542857142857142776e+02,1.248089392885927040e+01,-4.351827046282642601e-03,6.261757931909943398e-02,7.858916787733346565e-01
1.714285714285714164e+02,1.240337676170863723e+01,-4.024595218532272742e-03,5.964404305717559140e-02,7.838954404410489740e-01
1.885714285714285836e+02,1.233168843012957971e+01,-3.721969301805950342e-03,5.690763211177422148e-02,7.820357746452745173e-01
2.057142857142857224e+02,1.226539063993038781e+01,-3.442099076149696905e-03,5.438943687131403415e-02,7.803034911144460795e-01
2.228571428571428612e+02,1.220407805406766144e+01,-3.183273447279923521e-03,5.207205567543293084e-02,7.786900045719106211e-01
2.400000000000000000e+02,1.214737581446239822e+01,-2.943909985151423742e-03,4.993947456307965688e-02,7.771872961066994545e-01
2.571428571428571672e+02,1.209493725016092114e+01,-2.722545249161675493e-03,4.797695661012078838e-02,7.757878769017136911e-01
2.742857142857142776e+02,1.204644175782863513e+01,-2.517825840843931386e-03,4.617094009174519537e-02,7.744847541857009521e-01
2.914285714285714448e+02,1.200159284161823514e+01,-2.328500129345312947e-03,4.450894476593024451e-02,7.732713992819705284e-01
3.085714285714285552e+02,1.196011630042827178e+01,-2.153410599099984599e-03,4.297948563035425273e-02,7.721417176331443200e-01
3.257142857142857224e+02,1.192175855146925301e+01,-1.991486772912454736e-03,4.157199355678307257e-02,7.710900206873699814e-01
3.428571428571428328e+02,1.188628507988770089e+01,-1.841738667183487593e-03,4.027674225448552719e-02,7.701109995373238704e-01
3.600000000000000000e+02,1.185347900496939744e+01,-1.703250739264717054e-03,3.908478105796753255e-02,7.691997002090099622e-01
3.771428571428571672e+02,1.182313975415569551e+01,-1.575176289935931780e-03,3.798787307456354123e-02,7.683515005028063172e-01
3.942857142857142776e+02,1.179508183676603572e+01,-1.456732286784371937e-03,3.697843826446210042e-02,7.675620882944326206e-01
4.114285714285714448e+02,1.176913370992932073e+01,-1.347194576834595189e-03,3.604950105982764053e-02,7.668274412085079872e-01
4.285714285714285552e+02,1.174513672979057155e+01,-1.245893459160485545e-03,3.519464216104708360e-02,7.661438075821481730e-01
4.457142857142857224e+02,1.172294418158070606e+01,-1.152209590411209465e-03,3.440795417699558933e-02,7.655076886406081416e-01
4.628571428571428328e+02,1.170242038261935491e+01,-1.065570198217556577e-03,3.368400080277930697e-02,7.649158218113257801e-01
4.800000000000000000e+02,1.168343985276660746e+01,-9.854455793275212257e-04,3.301777925285814819e-02,7.643651651068656960e-01
4.971428571428571672e+02,1.166588654725189578e+01,-9.113458610615781958e-04,3.240468568994761545e-02,7.638528825112036458e-01
5.142857142857143344e+02,1.164965314718966383e+01,-8.428180062878725190e-04,3.184048341080068095e-02,7.633763303075384865e-01
5.314285714285714448e+02,1.163464040344407024e+01,-7.794430436054375095e-04,3.132127356902152798e-02,7.629330442893845765e-01
5.485714285714285552e+02,1.162075652983122254e+01,-7.208335058012614854e-04,3.084346823259513648e-02,7.625207278000705191e-01
5.657142857142856656e+02,1.160791664194902673e+01,0.000000000000000000e+00,3.040376558995023723e-02,7.628038716098999306e-01
5.828571428571428896e+02,1.159604223820375068e+01,0.000000000000000000e+00,2.999912713322027552e-02,7.623970924773693092e-01
