#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
0.000000000000000000e+00,1.353333333333333499e+01,-7.805315937173337368e-03,1.041059718969554876e-01,8.128664899436489621e-01
1.714285714285714235e+01,1.339493064422277868e+01,-7.286783113943462106e-03,9.782393445816425781e-02,8.102095431164487715e-01
3.428571428571428470e+01,1.326572250120167773e+01,-6.802698132534549559e-03,9.204285950473233002e-02,8.076454799448476995e-01
5.142857142857143060e+01,1.314509808031614568e+01,-6.350772509454477056e-03,8.672279767083970747e-02,8.051747986413091418e-01
6.857142857142856940e+01,1.303248713665763603e+01,-5.928869792700314917e-03,8.182698536180901816e-02,8.027974325170956771e-01
8.571428571428570820e+01,1.292735730856342080e+01,-5.534995461806201805e-03,7.732159070407089441e-02,8.005128299192899588e-01
1.028571428571428612e+02,1.282921160090791091e+01,-5.167287498864408558e-03,7.317547975440617802e-02,7.983200254754365677e-01
1.200000000000000000e+02,1.273758603558720814e+01,-4.824007585944258339e-03,6.936000135288483692e-02,7.962177034929633912e-01
1.371428571428571388e+02,1.265204745808970266e+01,-4.503532887295740549e-03,6.584878913275522827e-02,7.942042542827453255e-01
1.542857142857142776e+02,1.257219148978340506e+01,-4.204348377488033132e-03,6.261757931909943398e-02,7.922778241052784720e-01
1.714285714285714164e+02,1.249764061623956302e+01,-3.925039679215104257e-03,5.964404305717559140e-02,7.904363593733126914e-01
1.885714285714285836e+02,1.242804240255524384e+01,-3.664286376909994640e-03,5.690763211177422148e-02,7.886776456859241335e-01
2.057142857142857224e+02,1.236306782723790221e+01,-3.420855774556886501e-03,5.438943687131403415e-02,7.869993422153856999e-01
2.228571428571428612e+02,1.230240972677547262e+01,-3.193597068193019650e-03,5.207205567543293084e-02,7.853990119193646757e-01
2.400000000000000000e+02,1.224578134353880898e+01,-2.981435905549771614e-03,4.993947456307965688e-02,7.838741480065224421e-01
2.571428571428571672e+02,1.219291497015171188e+01,-2.783369307115091985e-03,4.797695661012078838e-02,7.824221970431310957e-01
2.742857142857142776e+02,1.214356068391995969e+01,-2.598460924606701451e-03,4.617094009174519537e-02,7.810405790515120295e-01
2.914285714285714448e+02,1.209748516533633733e+01,-2.425836614439795709e-03,4.450894476593024451e-02,7.797267049176129783e-01
3.085714285714285552e+02,1.205447059507630136e+01,-2.264680305264773347e-03,4.297948563035425273e-02,7.784779913945949481e-01
3.257142857142857224e+02,1.201431362426983007e+01,-2.114230140037132860e-03,4.157199355678307257e-02,7.772918739616181405e-01
3.428571428571428328e+02,1.197682441318150914e+01,-1.973774874382873152e-03,4.027674225448552719e-02,7.761658177718679941e-01
3.600000000000000000e+02,1.194182573375427125e+01,-1.842650514232417429e-03,3.908478105796753255e-02,7.750973269010086319e-01
3.771428571428571672e+02,1.190915213177409626e+01,-1.720237176827285348e-03,3.798787307456354123e-02,7.740839520865058221e-01
3.942857142857142776e+02,1.187864914469487410e+01,-1.605956160260454176e-03,3.697843826446210042e-02,7.731232971294270673e-01
4.114285714285714448e+02,1.185017257142573222e+01,-1.499267207697034358e-03,3.604950105982764053e-02,7.722130241132337813e-01
4.285714285714285552e+02,1.182358779062880139e+01,-1.399665953341615093e-03,3.519464216104708360e-02,7.713508575785794630e-01
4.457142857142857224e+02,1.179876912430469105e+01,-1.306681538078121631e-03,3.440795417699558933e-02,7.705345877790801268e-01
4.628571428571428328e+02,1.177559924365708888e+01,-1.219874383511178892e-03,3.368400080277930697e-02,7.697620731302771135e-01
4.800000000000000000e+02,1.175396861442772689e+01,-1.138834113884755169e-03,3.301777925285814819e-02,7.690312419524851784e-01
4.971428571428571672e+02,1.173377497907956268e+01,-1.063177616054692938e-03,3.240468568994761545e-02,7.683400935977677815e-01
5.142857142857143344e+02,1.171492287338024951e+01,-9.925472283439965796e-04,3.184048341080068095e-02,7.676866990418390602e-01
5.314285714285714448e+02,1.169732317510054465e+01,-9.266090497174286379e-04,3.132127356902152798e-02,7.670692010131315852e-01
5.485714285714285552e+02,1.168089268269416969e+01,-8.650513612845399727e-04,3.084346823259513648e-02,7.664858137235552871e-01
5.657142857142856656e+02,1.166555372196737572e+01,0.000000000000000000e+00,3.040376558995023723e-02,7.667424054111536824e-01
5.828571428571428896e+02,1.165123377887869971e+01,0.000000000000000000e+00,2.999912713322027552e-02,7.661685144234908762e-01
