#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,1.354566507454045698e+01,-1.875495890063158880e-02,1.596495762673388885e-01,6.343353693044568864e-01
9.329570125922714396e+00,1.343168331162252294e+01,-1.206439737136033412e-02,1.545993189459188288e-01,6.392372823800721582e-01
1.845071645679541916e+01,1.324156896801273930e+01,-1.593949103552855934e-02,1.481919896626866795e-01,6.303626573825490409e-01
2.983847155883626101e+01,1.320415400202634615e+01,-1.761327915827352181e-02,1.406899106374035757e-01,6.339460503259036761e-01
3.782370820668688793e+01,1.297582862932407188e+01,-6.633119853613824411e-03,1.357398159744726551e-01,6.361767819313577377e-01
4.351888840642629930e+01,1.293805181647127078e+01,-8.863646647673998832e-03,1.323576974086745350e-01,6.350617649319276747e-01
4.921406860616582435e+01,1.290027500361847146e+01,-1.179093416934451875e-02,1.290941943440748196e-01,6.331313717036888278e-01
5.946851932262262608e+01,1.278651034882038218e+01,-1.039701433749336962e-02,1.235039642579505992e-01,6.332896423337788239e-01
6.858445505861919855e+01,1.267267332464901131e+01,-7.469726815822880922e-03,1.188273077999978389e-01,6.340633648631198716e-01
7.769778549717756277e+01,1.259697496019684593e+01,-8.863646647674043935e-03,1.144116315114091925e-01,6.325432194527275120e-01
8.339296569691703098e+01,1.255919814734404660e+01,-8.305802356060203173e-03,1.117775214025951008e-01,6.334685650819874558e-01
9.022926617455493670e+01,1.248335504414531982e+01,-1.016353600038914090e-02,1.087373389692638803e-01,6.301004276790661551e-01
9.706296135475457731e+01,1.244565060066580031e+01,-1.155798725421238946e-02,1.058257759965305217e-01,6.293552727892050003e-01
1.073200173686495873e+02,1.229374728614850554e+01,-4.121384534579423768e-03,1.016831987472447546e-01,6.318202538870860696e-01
1.118766825879287694e+02,1.225589810392242107e+01,-2.328420986158588266e-03,9.992660954032396570e-02,6.330988557088627067e-01
1.175692574902301999e+02,1.225625995078882724e+01,-6.513370229611402037e-03,9.780146421461910489e-02,6.310607626030990680e-01
1.255414676508900698e+02,1.221862787668259109e+01,-4.121384534579279786e-03,9.494992091805927459e-02,6.340463671483167474e-01
1.346547980894485477e+02,1.214292951223042571e+01,-3.075595931640663031e-03,9.186008792300903725e-02,6.336400868791758345e-01
1.414858879722101506e+02,1.214336372847011170e+01,-5.719278652612942368e-03,8.965706951419381843e-02,6.332254755413999625e-01
1.050377768128527691e+02,1.236987986684035512e+01,-6.765067255551558689e-03,1.025820394109853428e-01,6.328456853438844121e-01
1.483169778549717535e+02,1.214379794470980123e+01,-8.903793046045216375e-03,8.754639690977228383e-02,6.321776867267705491e-01
1.528736430742509924e+02,1.210594876248371854e+01,-4.718843802592558728e-03,8.618790104423658394e-02,6.354501809021939618e-01
1.608484585323490705e+02,1.203017802865827512e+01,-4.121384534579234683e-03,8.390175390736451244e-02,6.337875432775527118e-01
1.665410334346503873e+02,1.203053987552467952e+01,-4.121384534579234683e-03,8.233836954189298341e-02,6.353726384550085760e-01
1.756543638732088652e+02,1.195484151107251591e+01,-2.029508275627068224e-03,7.994882007853247596e-02,6.353121623101913862e-01
1.813469387755101820e+02,1.195520335793892031e+01,-2.029508275626978886e-03,7.852400818786416103e-02,6.367586850128440501e-01
1.904576639166304517e+02,1.191764365320596575e+01,-2.726933280756173045e-03,7.634686430840914584e-02,6.359848216031926960e-01
1.984272687798523407e+02,1.191815023881893332e+01,-2.726933280756047712e-03,7.454174045938198601e-02,6.378203405889979472e-01
2.052609639600521518e+02,1.188044579533941381e+01,6.356470887359329160e-05,7.306411865665810024e-02,6.398261937725803206e-01
2.143690838037343269e+02,1.188102475032566474e+01,-4.121384534579233816e-03,7.119058342556269792e-02,6.375495170593978855e-01
2.212001736864959298e+02,1.188145896656535072e+01,-4.121384534579102844e-03,6.985398629202992093e-02,6.389121671673120284e-01
2.303135041250542940e+02,1.180576060211318712e+01,6.356470887369095111e-05,6.815765907646555155e-02,6.402515417591994051e-01
2.371445940078157832e+02,1.180619481835287488e+01,6.356470887362568214e-05,6.694819562350574904e-02,6.414870581865402821e-01
2.439756838905774998e+02,1.180662903459256263e+01,-2.029508275627047841e-03,6.578943028319057806e-02,6.405788035167360173e-01
2.485297438124185305e+02,1.180691851208568721e+01,-2.029508275627048709e-03,6.504403250706604356e-02,6.413415699424480643e-01
2.576404689535388002e+02,1.176935880735273088e+01,6.356470887365818110e-05,6.361518535930797691e-02,6.426099077907295731e-01
2.621945288753799446e+02,1.176964828484585546e+01,6.356470887374177309e-05,6.293097996480209733e-02,6.433114818348228958e-01
2.713026487190620060e+02,1.177022723983210639e+01,-2.328420986158732681e-03,6.161979645763710628e-02,6.422654169461304852e-01
2.792722535822840086e+02,1.177073382544507574e+01,-2.328420986158776917e-03,6.053234184578690918e-02,6.433832666947587597e-01
2.872444637429439922e+02,1.173310175133883604e+01,6.356470887357164822e-05,5.949755052623650897e-02,6.445521192629671825e-01
2.929370386452453090e+02,1.173346359820524221e+01,-5.515304366430512188e-03,5.878967020018447537e-02,6.397028413256995449e-01
3.009066435084673117e+02,1.173397018381820978e+01,-5.515304366430484433e-03,5.784013133455623290e-02,6.406827753281059135e-01
3.077429439861049900e+02,1.165812708061948477e+01,-2.726933280756191260e-03,5.706257645497116865e-02,6.396981151014417000e-01
3.122970039079461344e+02,1.165841655811260935e+01,-2.726933280756190826e-03,5.656278898885406387e-02,6.402152712171462756e-01
3.191306990881458319e+02,1.162071211463308984e+01,6.356470887362580412e-05,5.583908756859529837e-02,6.414672040182636259e-01
3.282388189318280070e+02,1.162129106961933900e+01,4.852230869684023493e-03,5.492147786281732086e-02,6.472082171840269904e-01
3.350699088145896098e+02,1.162172528585902676e+01,-7.266382056199940584e-04,5.426684672373399687e-02,6.423100322221875214e-01
3.430343030829353097e+02,1.169850919091040709e+01,-5.515304366430196469e-03,5.353817586282920427e-02,6.428570712253650621e-01
3.498706035605731017e+02,1.162266608771168208e+01,6.356470887375594903e-05,5.294108434962206677e-02,6.444824456219526709e-01
3.532861485019538463e+02,1.162288319583152685e+01,-1.331950301002190118e-03,5.265221611307075583e-02,6.433888253358185372e-01
3.623942683456361351e+02,1.162346215081777601e+01,-1.331950301002385274e-03,5.191146598767126807e-02,6.441643127603928765e-01
3.760590534085974355e+02,1.158619192357794603e+01,2.157835446154914971e-03,5.087651301563388129e-02,6.464528378451976920e-01
3.806131133304385799e+02,1.158648140107106883e+01,4.832812876562687151e-04,5.055082734942872857e-02,6.451213380024917177e-01
3.897186278766825467e+02,1.162519901577652526e+01,-1.610989449625242157e-03,4.992687000971497008e-02,6.459740814872513281e-01
4.011063829787233885e+02,1.158778404979013210e+01,6.356470887357178374e-05,4.919501356718248425e-02,6.461355941290990446e-01
4.124915327833261358e+02,1.158850774352294444e+01,-1.797003727018336083e-03,4.851373061675180731e-02,6.449997302676065969e-01
4.204611376465480248e+02,1.158901432913591201e+01,-1.797003727018308111e-03,4.806495169851069532e-02,6.454789043226257794e-01
4.307103777681284669e+02,1.155152699377623726e+01,-2.726933280756145290e-03,4.751980049686533453e-02,6.428448858489527185e-01
4.398184976118106420e+02,1.155210594876248642e+01,-2.726933280756047278e-03,4.706388045792464503e-02,6.433355431870685370e-01
4.466521927920104531e+02,1.151440150528296691e+01,6.356470887359369818e-05,4.673850152962980009e-02,6.441891534962218557e-01
4.557603126356925145e+02,1.151498046026921784e+01,-4.121384534579084630e-03,4.632594069404070286e-02,6.404515023875332336e-01
4.625914025184541174e+02,1.151541467650890382e+01,-4.121384534579058609e-03,4.603161602850778383e-02,6.407718800274473381e-01
4.671480677377333564e+02,1.147756549428282291e+01,6.356470887371727012e-05,4.584217933405595330e-02,6.428753150317870757e-01
4.785332175423361036e+02,1.147828918801563347e+01,-1.797003727018138325e-03,4.539184734613996991e-02,6.415085002077798304e-01
4.853643074250975928e+02,1.147872340425532300e+01,-1.797003727018311580e-03,4.513667786934517923e-02,6.417897226589558413e-01
4.956135475466783760e+02,1.144123606889564648e+01,6.356470887351731614e-05,4.477374876903144479e-02,6.417639800735808198e-01
5.058601823708206098e+02,1.144188739325517723e+01,6.356470887359291213e-05,4.443348796874443951e-02,6.421433203354397490e-01
5.126912722535823832e+02,1.144232160949486321e+01,6.356470887359316963e-05,4.421849086057340339e-02,6.423843704179920122e-01
5.217993920972644446e+02,1.144290056448111415e+01,6.356470887361250909e-05,4.394578129783875686e-02,6.426918172799016560e-01
5.286304819800261612e+02,1.144333478072080013e+01,6.356470887369301110e-05,4.375122780677630219e-02,6.429124237453454072e-01
5.400156317846287948e+02,1.144405847445361424e+01,6.356470887356278486e-05,4.344492538734469333e-02,6.432621477887456862e-01
5.548163265306122867e+02,1.144499927630626956e+01,6.356470887360105720e-05,4.307805501864887809e-02,6.436854662686007922e-01
5.718940512375163507e+02,1.144608481690548629e+01,6.356470887374914567e-05,4.269494936561558929e-02,6.441337043575873222e-01
5.844177160225792704e+02,1.144688088001158022e+01,0.000000000000000000e+00,4.243895518462822286e-02,6.443738976160665599e-01
5.992184107685627623e+02,1.144782168186423910e+01,0.000000000000000000e+00,4.216122026194864258e-02,6.447080806499055905e-01
