#0: p value, 1: 1st Root, 2: 2nd Root, 3: 3rd Root
0.000000000000000000e+00,1.369735960905995569e+02,2.828120210012751920e-02,1.227982455997509055e-02
1.000000000000000056e-01,1.369736137463835064e+02,2.825550820035182056e-02,1.226202934253173456e-02
2.000000000000000111e-01,1.369736313628847313e+02,2.822987171325661362e-02,1.224421599503168825e-02
3.000000000000000444e-01,1.369736489401034021e+02,2.820429253485866664e-02,1.222638462140567331e-02
4.000000000000000222e-01,1.369736664780395756e+02,2.817877056058434512e-02,1.220853532617499279e-02
5.000000000000000000e-01,1.369736839766933088e+02,2.815330568527297031e-02,1.219066821444806173e-02
5.999999999999999778e-01,1.369737014360646583e+02,2.812789780318018448e-02,1.217278339191692031e-02
6.999999999999999556e-01,1.369737188561535106e+02,2.810254680798144819e-02,1.215488096485376965e-02
7.999999999999999334e-01,1.369737362369602067e+02,2.807725259277668931e-02,1.213696104010687261e-02
8.999999999999999112e-01,1.369737535784844056e+02,2.805201505009219734e-02,1.211902372509765687e-02
9.999999999999998890e-01,1.369737708807266188e+02,2.802683407188586578e-02,1.210106912781640578e-02
